Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,"5,849",0,0,360,Good,Urban,Yes
LP001003,Male,Yes,1,Graduate,No,"4,583","1,508",128,360,Good,Rural,No
LP001005,Male,Yes,0,Graduate,Yes,"3,000",0,66,360,Good,Urban,Yes
LP001006,Male,Yes,0,Not Graduate,No,"2,583","2,358",120,360,Good,Urban,Yes
LP001008,Male,No,0,Graduate,No,"6,000",0,141,360,Good,Urban,Yes
LP001011,Male,Yes,2,Graduate,Yes,"5,417","4,196",267,360,Good,Urban,Yes
LP001013,Male,Yes,0,Not Graduate,No,"2,333","1,516",95,360,Good,Urban,Yes
LP001014,Male,Yes,3,Graduate,No,"3,036","2,504",158,360,Poor,Semiurban,No
LP001018,Male,Yes,2,Graduate,No,"4,006","1,526",168,360,Good,Urban,Yes
LP001020,Male,Yes,1,Graduate,No,"12,841","10,968",349,360,Good,Semiurban,No
LP001024,Male,Yes,2,Graduate,No,"3,200",700,70,360,Good,Urban,Yes
LP001027,Male,Yes,2,Graduate,Unknown,"2,500","1,840",109,360,Good,Urban,Yes
LP001028,Male,Yes,2,Graduate,No,"3,073","8,106",200,360,Good,Urban,Yes
LP001029,Male,No,0,Graduate,No,"1,853","2,840",114,360,Good,Rural,No
LP001030,Male,Yes,2,Graduate,No,"1,299","1,086",17,120,Good,Urban,Yes
LP001032,Male,No,0,Graduate,No,"4,950",0,125,360,Good,Urban,Yes
LP001034,Male,No,1,Not Graduate,No,"3,596",0,100,240,N/A,Urban,Yes
LP001036,Female,No,0,Graduate,No,"3,510",0,76,360,Poor,Urban,No
LP001038,Male,Yes,0,Not Graduate,No,"4,887",0,133,360,Good,Rural,No
LP001041,Male,Yes,0,Graduate,Unknown,"2,600","3,500",115,0,Good,Urban,Yes
LP001043,Male,Yes,0,Not Graduate,No,"7,660",0,104,360,Poor,Urban,No
LP001046,Male,Yes,1,Graduate,No,"5,955","5,625",315,360,Good,Urban,Yes
LP001047,Male,Yes,0,Not Graduate,No,"2,600","1,911",116,360,Poor,Semiurban,No
LP001050,Unknown,Yes,2,Not Graduate,No,"3,365","1,917",112,360,Poor,Rural,No
LP001052,Male,Yes,1,Graduate,Unknown,"3,717","2,925",151,360,N/A,Semiurban,No
LP001066,Male,Yes,0,Graduate,Yes,"9,560",0,191,360,Good,Semiurban,Yes
LP001068,Male,Yes,0,Graduate,No,"2,799","2,253",122,360,Good,Semiurban,Yes
LP001073,Male,Yes,2,Not Graduate,No,"4,226","1,040",110,360,Good,Urban,Yes
LP001086,Male,No,0,Not Graduate,No,"1,442",0,35,360,Good,Urban,No
LP001087,Female,No,2,Graduate,Unknown,"3,750","2,083",120,360,Good,Semiurban,Yes
LP001091,Male,Yes,1,Graduate,Unknown,"4,166","3,369",201,360,N/A,Urban,No
LP001095,Male,No,0,Graduate,No,"3,167",0,74,360,Good,Urban,No
LP001097,Male,No,1,Graduate,Yes,"4,692",0,106,360,Good,Rural,No
LP001098,Male,Yes,0,Graduate,No,"3,500","1,667",114,360,Good,Semiurban,Yes
LP001100,Male,No,3,Graduate,No,"12,500","3,000",320,360,Good,Rural,No
LP001106,Male,Yes,0,Graduate,No,"2,275","2,067",0,360,Good,Urban,Yes
LP001109,Male,Yes,0,Graduate,No,"1,828","1,330",100,0,Poor,Urban,No
LP001112,Female,Yes,0,Graduate,No,"3,667","1,459",144,360,Good,Semiurban,Yes
LP001114,Male,No,0,Graduate,No,"4,166","7,210",184,360,Good,Urban,Yes
LP001116,Male,No,0,Not Graduate,No,"3,748","1,668",110,360,Good,Semiurban,Yes
LP001119,Male,No,0,Graduate,No,"3,600",0,80,360,Good,Urban,No
LP001120,Male,No,0,Graduate,No,"1,800","1,213",47,360,Good,Urban,Yes
LP001123,Male,Yes,0,Graduate,No,"2,400",0,75,360,N/A,Urban,Yes
LP001131,Male,Yes,0,Graduate,No,"3,941","2,336",134,360,Good,Semiurban,Yes
LP001136,Male,Yes,0,Not Graduate,Yes,"4,695",0,96,0,Good,Urban,Yes
LP001137,Female,No,0,Graduate,No,"3,410",0,88,0,Good,Urban,Yes
LP001138,Male,Yes,1,Graduate,No,"5,649",0,44,360,Good,Urban,Yes
LP001144,Male,Yes,0,Graduate,No,"5,821",0,144,360,Good,Urban,Yes
LP001146,Female,Yes,0,Graduate,No,"2,645","3,440",120,360,Poor,Urban,No
LP001151,Female,No,0,Graduate,No,"4,000","2,275",144,360,Good,Semiurban,Yes
LP001155,Female,Yes,0,Not Graduate,No,"1,928","1,644",100,360,Good,Semiurban,Yes
LP001157,Female,No,0,Graduate,No,"3,086",0,120,360,Good,Semiurban,Yes
LP001164,Female,No,0,Graduate,No,"4,230",0,112,360,Good,Semiurban,No
LP001179,Male,Yes,2,Graduate,No,"4,616",0,134,360,Good,Urban,No
LP001186,Female,Yes,1,Graduate,Yes,"11,500",0,286,360,Poor,Urban,No
LP001194,Male,Yes,2,Graduate,No,"2,708","1,167",97,360,Good,Semiurban,Yes
LP001195,Male,Yes,0,Graduate,No,"2,132","1,591",96,360,Good,Semiurban,Yes
LP001197,Male,Yes,0,Graduate,No,"3,366","2,200",135,360,Good,Rural,No
LP001198,Male,Yes,1,Graduate,No,"8,080","2,250",180,360,Good,Urban,Yes
LP001199,Male,Yes,2,Not Graduate,No,"3,357","2,859",144,360,Good,Urban,Yes
LP001205,Male,Yes,0,Graduate,No,"2,500","3,796",120,360,Good,Urban,Yes
LP001206,Male,Yes,3,Graduate,No,"3,029",0,99,360,Good,Urban,Yes
LP001207,Male,Yes,0,Not Graduate,Yes,"2,609","3,449",165,180,Poor,Rural,No
LP001213,Male,Yes,1,Graduate,No,"4,945",0,0,360,Poor,Rural,No
LP001222,Female,No,0,Graduate,No,"4,166",0,116,360,Poor,Semiurban,No
LP001225,Male,Yes,0,Graduate,No,"5,726","4,595",258,360,Good,Semiurban,No
LP001228,Male,No,0,Not Graduate,No,"3,200","2,254",126,180,Poor,Urban,No
LP001233,Male,Yes,1,Graduate,No,"10,750",0,312,360,Good,Urban,Yes
LP001238,Male,Yes,3,Not Graduate,Yes,"7,100",0,125,60,Good,Urban,Yes
LP001241,Female,No,0,Graduate,No,"4,300",0,136,360,Poor,Semiurban,No
LP001243,Male,Yes,0,Graduate,No,"3,208","3,066",172,360,Good,Urban,Yes
LP001245,Male,Yes,2,Not Graduate,Yes,"1,875","1,875",97,360,Good,Semiurban,Yes
LP001248,Male,No,0,Graduate,No,"3,500",0,81,300,Good,Semiurban,Yes
LP001250,Male,Yes,3,Not Graduate,No,"4,755",0,95,0,Poor,Semiurban,No
LP001253,Male,Yes,3,Graduate,Yes,"5,266","1,774",187,360,Good,Semiurban,Yes
LP001255,Male,No,0,Graduate,No,"3,750",0,113,480,Good,Urban,No
LP001256,Male,No,0,Graduate,No,"3,750","4,750",176,360,Good,Urban,No
LP001259,Male,Yes,1,Graduate,Yes,"1,000","3,022",110,360,Good,Urban,No
LP001263,Male,Yes,3,Graduate,No,"3,167","4,000",180,300,Poor,Semiurban,No
LP001264,Male,Yes,3,Not Graduate,Yes,"3,333","2,166",130,360,N/A,Semiurban,Yes
LP001265,Female,No,0,Graduate,No,"3,846",0,111,360,Good,Semiurban,Yes
LP001266,Male,Yes,1,Graduate,Yes,"2,395",0,0,360,Good,Semiurban,Yes
LP001267,Female,Yes,2,Graduate,No,"1,378","1,881",167,360,Good,Urban,No
LP001273,Male,Yes,0,Graduate,No,"6,000","2,250",265,360,N/A,Semiurban,No
LP001275,Male,Yes,1,Graduate,No,"3,988",0,50,240,Good,Urban,Yes
LP001279,Male,No,0,Graduate,No,"2,366","2,531",136,360,Good,Semiurban,Yes
LP001280,Male,Yes,2,Not Graduate,No,"3,333","2,000",99,360,N/A,Semiurban,Yes
LP001282,Male,Yes,0,Graduate,No,"2,500","2,118",104,360,Good,Semiurban,Yes
LP001289,Male,No,0,Graduate,No,"8,566",0,210,360,Good,Urban,Yes
LP001310,Male,Yes,0,Graduate,No,"5,695","4,167",175,360,Good,Semiurban,Yes
LP001316,Male,Yes,0,Graduate,No,"2,958","2,900",131,360,Good,Semiurban,Yes
LP001318,Male,Yes,2,Graduate,No,"6,250","5,654",188,180,Good,Semiurban,Yes
LP001319,Male,Yes,2,Not Graduate,No,"3,273","1,820",81,360,Good,Urban,Yes
LP001322,Male,No,0,Graduate,No,"4,133",0,122,360,Good,Semiurban,Yes
LP001325,Male,No,0,Not Graduate,No,"3,620",0,25,120,Good,Semiurban,Yes
LP001326,Male,No,0,Graduate,Unknown,"6,782",0,0,360,N/A,Urban,No
LP001327,Female,Yes,0,Graduate,No,"2,484","2,302",137,360,Good,Semiurban,Yes
LP001333,Male,Yes,0,Graduate,No,"1,977",997,50,360,Good,Semiurban,Yes
LP001334,Male,Yes,0,Not Graduate,No,"4,188",0,115,180,Good,Semiurban,Yes
LP001343,Male,Yes,0,Graduate,No,"1,759","3,541",131,360,Good,Semiurban,Yes
LP001345,Male,Yes,2,Not Graduate,No,"4,288","3,263",133,180,Good,Urban,Yes
LP001349,Male,No,0,Graduate,No,"4,843","3,806",151,360,Good,Semiurban,Yes
LP001350,Male,Yes,Unknown,Graduate,No,"13,650",0,0,360,Good,Urban,Yes
LP001356,Male,Yes,0,Graduate,No,"4,652","3,583",0,360,Good,Semiurban,Yes
LP001357,Male,Unknown,Unknown,Graduate,No,"3,816",754,160,360,Good,Urban,Yes
LP001367,Male,Yes,1,Graduate,No,"3,052","1,030",100,360,Good,Urban,Yes
LP001369,Male,Yes,2,Graduate,No,"11,417","1,126",225,360,Good,Urban,Yes
LP001370,Male,No,0,Not Graduate,Unknown,"7,333",0,120,360,Good,Rural,No
LP001379,Male,Yes,2,Graduate,No,"3,800","3,600",216,360,Poor,Urban,No
LP001384,Male,Yes,3,Not Graduate,No,"2,071",754,94,480,Good,Semiurban,Yes
LP001385,Male,No,0,Graduate,No,"5,316",0,136,360,Good,Urban,Yes
LP001387,Female,Yes,0,Graduate,Unknown,"2,929","2,333",139,360,Good,Semiurban,Yes
LP001391,Male,Yes,0,Not Graduate,No,"3,572","4,114",152,0,Poor,Rural,No
LP001392,Female,No,1,Graduate,Yes,"7,451",0,0,360,Good,Semiurban,Yes
LP001398,Male,No,0,Graduate,Unknown,"5,050",0,118,360,Good,Semiurban,Yes
LP001401,Male,Yes,1,Graduate,No,"14,583",0,185,180,Good,Rural,Yes
